name,description,img,url,children,parent
Маникюрные приборы,,,,[],Для красоты и ухода
Термометры,,,,[],Для красоты и ухода
Электрические пилочки,,,,[],Для красоты и ухода
Лампы для маникюра,,,,[],Для красоты и ухода
Щетки для волос,,,,[],Для красоты и ухода
Аксессуары,, https://img8.itbox.ua/150x150/prod_img/8/U0395048.jpg ,,[],Техника и товары для дома
Аксессуары к электробритвам,,,,[],Аксессуары
Насадки для зубной щетки,,,,[],Аксессуары
Аксессуары к эпиляторам,,,,[],Аксессуары
Аксессуары к триммерам,,,,[],Аксессуары
Зеркала,,,,[],Аксессуары
Посуда и аксессуары,, https://img8.itbox.ua/150x150/prod_img/8/U0395048.jpg ,,[],Техника и товары для дома
Чайники,,,,[],Посуда и аксессуары
Сковородки,,,,[],Посуда и аксессуары
Овощечистки,,,,[],Посуда и аксессуары
Кухонные ножи и наборы,,,,[],Посуда и аксессуары
Кастрюли,,,,[],Посуда и аксессуары
Пищевые контейнеры,,,,[],Посуда и аксессуары
Гейзерные кофеварки,,,,[],Посуда и аксессуары
Наборы посуды,,,,[],Посуда и аксессуары
Столовые приборы,,,,[],Посуда и аксессуары
Разделочные доски,,,,[],Посуда и аксессуары
Хлебницы,,,,[],Посуда и аксессуары
Формы для выпечки,,,,[],Посуда и аксессуары
Кухонные наборы,,,,[],Посуда и аксессуары
Молотки для мяса,,,,[],Посуда и аксессуары
Терки,,,,[],Посуда и аксессуары
Емкости для сыпучих,,,,[],Посуда и аксессуары
Ковши,,,,[],Посуда и аксессуары
Наборы для специй,,,,[],Посуда и аксессуары
Штопоры,,,,[],Посуда и аксессуары
Крышки для посуды,,,,[],Посуда и аксессуары
Сотейники,,,,[],Посуда и аксессуары
Кухонные ножницы,,,,[],Посуда и аксессуары
Щипцы кухонные,,,,[],Посуда и аксессуары
Гусятницы,,,,[],Посуда и аксессуары
Венчики,,,,[],Посуда и аксессуары
Подставки под горячее,,,,[],Посуда и аксессуары
Прихватки для кухни,,,,[],Посуда и аксессуары
Елки и украшения,, https://img8.itbox.ua/150x150/prod_img/8/U0395048.jpg ,,[],Техника и товары для дома
Искусственные елки и сосны,,,,[],Елки и украшения
Гирлянды,,,,[],Елки и украшения
Елочные игрушки,,,,[],Елки и украшения
Украшения декоративные,,,,[],Елки и украшения
Сантехника,, https://img8.itbox.ua/150x150/prod_img/8/U0395048.jpg ,,[],Техника и товары для дома
Кухонные мойки,,,,[],Сантехника
Смесители,,,,[],Сантехника
Полотенцесушители,,,,[],Сантехника
Сушилки для рук,,,,[],Сантехника
Домашний текстиль,, https://img8.itbox.ua/150x150/prod_img/8/U0395048.jpg ,,[],Техника и товары для дома
Подушки,,,,[],Домашний текстиль
Красота и здоровье,,,,[],
Средства для бритья,, https://img4.itbox.ua/150x150/prod_img/4/U0162594.jpg ,,[],Красота и здоровье
Сменные кассеты,,,,[],Средства для бритья
Бритвы,,,,[],Средства для бритья
Наборы для бритья,,,,[],Средства для бритья
Бальзамы после бритья,,,,[],Средства для бритья
Лосьоны после бритья,,,,[],Средства для бритья
Гели для бритья,,,,[],Средства для бритья
Средства гигиены,, https://img4.itbox.ua/150x150/prod_img/4/U0162594.jpg ,,[],Красота и здоровье
Зубные пасты,,,,[],Средства гигиены
Зубные нити,,,,[],Средства гигиены
Дезодоранты,,,,[],Средства гигиены
Гигиенические прокладки,,,,[],Средства гигиены
Ежедневные прокладки,,,,[],Средства гигиены
Тампоны,,,,[],Средства гигиены
Гели для душа,,,,[],Средства гигиены
Уход за волосами,, https://img4.itbox.ua/150x150/prod_img/4/U0162594.jpg ,,[],Красота и здоровье
Шампуни,,,,[],Уход за волосами
Бальзамы-ополаскиватели,,,,[],Уход за волосами
Лаки для волос,,,,[],Уход за волосами
Спреи для волос,,,,[],Уход за волосами
Пенки для волос,,,,[],Уход за волосами
Крем-краски для волос,,,,[],Уход за волосами
Дезинфекция и защита,, https://img4.itbox.ua/150x150/prod_img/4/U0162594.jpg ,,[],Красота и здоровье
Маски и респираторы,,,,[],Дезинфекция и защита
Антисептики,,,,[],Дезинфекция и защита
УФ стерилизаторы,,,,[],Дезинфекция и защита
"Печать, расходные",,,,[],
Принтеры и МФУ,, https://img8.itbox.ua/150x150/prod_img/8/U0203988.jpg ,,[],"Печать, расходные"
Расходные материалы,, https://img8.itbox.ua/150x150/prod_img/8/U0203988.jpg ,,[],"Печать, расходные"
Картриджи,,,,[],Расходные материалы
СНПЧ и ПЗК,,,,[],Расходные материалы
Блок фотобарабана (Драм),,,,[],Расходные материалы
Тонер для принтеров,,,,[],Расходные материалы
Чернила и контейнеры,,,,[],Расходные материалы
Контейнеры отработки,,,,[],Расходные материалы
Мастер-пленки,,,,[],Расходные материалы
Чистящие картриджи,,,,[],Расходные материалы
Скрепки для брошюровщика,,,,[],Расходные материалы
Девелоперы,,,,[],Расходные материалы
Ленты к матричным принтерам,,,,[],Расходные материалы
Расходники к 3D печати,,,,[],Расходные материалы
Кабели для принтеров,,,,[],Расходные материалы
Пленки для факса,,,,[],Расходные материалы
Сканеры,, https://img8.itbox.ua/150x150/prod_img/8/U0203988.jpg ,,[],"Печать, расходные"
Запчасти к картриджам,, https://img8.itbox.ua/150x150/prod_img/8/U0203988.jpg ,,[],"Печать, расходные"
Валы первичной зарядки,,,,[],Запчасти к картриджам
Лезвия очистки/фотобарабана,,,,[],Запчасти к картриджам
Фотобарабаны/Фоторецепторы,,,,[],Запчасти к картриджам
Лезвия дозирования,,,,[],Запчасти к картриджам
Магнитные валы и оболочки,,,,[],Запчасти к картриджам
Втулки магнитного вала,,,,[],Запчасти к картриджам
Смазка для магнитного вала,,,,[],Запчасти к картриджам
Корпусы картриджа,,,,[],Запчасти к картриджам
Флажки картриджей,,,,[],Запчасти к картриджам
Крышки для картриджа,,,,[],Запчасти к картриджам
Пружины фотобарабана,,,,[],Запчасти к картриджам
Чипы для картриджей,,,,[],Запчасти к картриджам
Дополнительное оборудование,,,,[],Запчасти к картриджам
Наборы для очистки,,,,[],Запчасти к картриджам
3D-принтеры,, https://img8.itbox.ua/150x150/prod_img/8/U0203988.jpg ,,[],"Печать, расходные"
Принт-серверы,, https://img8.itbox.ua/150x150/prod_img/8/U0203988.jpg ,,[],"Печать, расходные"
Запчасти к оргтехнике,, https://img8.itbox.ua/150x150/prod_img/8/U0203988.jpg ,,[],"Печать, расходные"
Термопленки,,,,[],Запчасти к оргтехнике
Печатающие головки,,,,[],Запчасти к оргтехнике
Узел термозакрепления,,,,[],Запчасти к оргтехнике
